[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ca (all spectra): 529 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 14000
Query NIST Bibliographic Databases for
Ca (new window)
Ca Energy Levels
Ca Line Wavelengths and Classification
Ca Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                  Ritz    |       Rel. |    Aki    | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |   Type|             TP  |      Line  |
          |              Wavelength |               Wavelength |       Int. |    s^-1   |      |       (cm-1)       (cm-1)       |---------------------------------------|----------------------------------------|           |       |            Ref. |      Ref.  |
          |               Air (nm)  |                Air (nm)  |       (?)  |           |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |       |                 |            |
Ca VII    |                         |               222.598    |            | 2.7e-01   | D    |   4071.4       -   48981.4      | 3s2.3p2               | 3P      | 2   | 3s2.3p2               | 1S       | 0   |   5 - 1   | E2    |           T1073 |            |
Ca III    |              223.1436   |               223.1442   |        600 | 9.5e+05   | C    | 227388.56      -  272188.70     | 3s2.3p5.3d            | 3D*     | 2   | 3s2.3p5.4p            | 3S       | 1   |   5 - 3   |       |             u33 |      L262  |
Ca III    |              223.3614   |               223.3614   |        230 | 3.3e+05   | C    | 227432.11      -  272188.70     | 3s2.3p5.3d            | 3D*     | 1   | 3s2.3p5.4p            | 3S       | 1   |   3 - 3   |       |             u33 |      L262  |
Ca VI     |                         |               224.213    |            | 2.0e-03   | D    |      0.0       -   44586.7+x    | 3s2.3p3               | 4S*     | 3/2 | 3s2.3p3               | 2P*      | 1/2 |   4 - 2   | E2    |            T233 |            |
Ca VI     |                         |               224.213    |            | 4.8e+00   | C    |      0.0       -   44586.7+x    | 3s2.3p3               | 4S*     | 3/2 | 3s2.3p3               | 2P*      | 1/2 |   4 - 2   | M1    |            T233 |            |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              225.2446   |               225.2440   |        350 |           |      | 278621.01      -  323003.56     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]*  | 1   |   3 - 3   |       |                 |      L262  |
Ca III    |              225.5205   |               225.5206   |        440 |           |      | 281139.55      -  325467.67     | 3s2.3p5.4p            | 1P      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  | 2   |   3 - 5   |       |                 |      L262  |
Ca III    |              226.6072   |               226.6072   |         23 | 1.4e+07   | C    | 322663.28      -  366778.85     | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]* | 0   | 3s.3p6.3d             | 3D       | 1   |   1 - 3   |       |             u33 |     L2911  |
Ca III    |              226.9842   |               226.9844   |        700 | 7.4e+07   | C    | 278621.01      -  322663.28     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]*  | 0   |   3 - 1   |       |             u33 |      L262  |
Ca I      |              227.546    |               227.5466   |          6 | 3.01e+07  | C+   |      0.000     -   43933.477    | 3p6.4s2               | 1S      | 0   | 3p6.4s.np             | w 1P*    | 1   |   1 - 3   |       |     T134n,T654n |     L6097  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
