[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ti (all spectra): 4528 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 21000
Query NIST Bibliographic Databases for
Ti (new window)
Ti Energy Levels
Ti Line Wavelengths and Classification
Ti Transition Probabilities
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |            Ei           Ek            |                Lower level                |                Upper level                |  gi   gk  |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |          (cm-1)       (cm-1)          |-------------------------------------------|-------------------------------------------|           |       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                       | Conf.                 | Term       | J    | Conf.                 | Term       | J    |           |       |              |                 |
Ti II     |                  210.323     |                  210.322579  |     1: |           |      |       94.1142     -     47625.0485    | 3d2.(3F).4s           | a 4F       | 5/2  | 3d2.(1G).4p           | x 2F*      | 5/2  |   6 - 6   |       |              |          L5432  |
Ti III    |                  210.360     |                  210.363+    |      5 | 5.6e+07   | D    |    81024.47       -    128546.38      | 3p6.3d.4p             | 3P*        | 2    | 3p6.3d.4d             | 3D         | 2    |   5 - 5   |       |        T1216 |         L11926  |
Ti II     |                  210.405     |                  210.403583  |     0: |           |      |     8710.5675     -     56223.205     | 3d2.(1D).4s           | a 2D       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 1/2  |   4 - 2   |       |              |          L5432  |
Ti II     |                  210.43784   |                  210.437838  |      3 |           |      |     8744.3406     -     56249.2448    | 3d2.(1D).4s           | a 2D       | 5/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 3/2  |   6 - 4   |       |              |            u37  |
          |                              |                              |        |           |      |                                       |                       |            |      |                       |            |      |           |       |              |                 |
Ti II     |                  210.48373   |                  210.483688  |      8 |           |      |    34748.5062     -     82243.0637    | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(1G).4d           | 2F         | 7/2  |  10 - 8   |       |              |            u37  |
Ti III    |                  210.4857    |                  210.485+    |      4 | 1.1e+08   | D    |    80939.19       -    128433.40      | 3p6.3d.4p             | 3P*        | 1    | 3p6.3d.4d             | 3D         | 1    |   3 - 3   |       |        T1216 |         L11926  |
Ti III    |                  210.5092    |                  210.510+    |      5 | 1.7e+08   | D    |    80944.87       -    128433.40      | 3p6.3d.4p             | 3P*        | 0    | 3p6.3d.4d             | 3D         | 1    |   1 - 3   |       |        T1216 |         L11926  |
Ti II     |                  210.83241   |                  210.832412  |     21 |           |      |    25192.9650     -     72608.9742    | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 4D*        | 7/2  |   6 - 8   |       |              |            u37  |
Ti II     |                  210.907     |                  210.906545  |     0: |           |      |      225.7039     -     47625.0485    | 3d2.(3F).4s           | a 4F       | 7/2  | 3d2.(1G).4p           | x 2F*      | 5/2  |   8 - 6   |       |              |          L5432  |
